False FALSE
None NONE
True TRUE
and AND
as AS
assert ASSERT
break BREAK
class CLASS
continue CONTINUE
def DEF
del DEL
elif ELIF
else ELSE
except EXCEPT
finally FINALLY
for FOR
from FROM
global GLOBAL
if IF
import IMPORT
in IN
is IS
lambda LAMBDA
nonlocal NONLOCAL
not NOT
or OR
pass PASS
raise RAISE
return RETURN
try TRY
while WHILE
with WITH
yield YIELD
+ ADD
- SUB
* MUL
** POW
/ DIV
// FDIV
% MOD
<< LSHIFT
>> RSHIFT
& BITWISEAND
| BITWISEOR
^ BITWISEXOR
~ BITWISENOT
< LT
> GT
<= LE
>= GE
== EQ
!= NEQ
, COMMA
: COLON
. DOT
; SEMICOLON
@ AT
= ASSIGNMENT
-> ANNOTATIONRETURN
+= RADD
-= RSUB
*= RMUL
/= RDIV
//= RFDIV
%= RMOD
&= RAND
|= ROR
^= RXOR
>>= RRSHIFT
<<= RLSHIFT
**= RPOW
( LPARENTHESIS
) RPARENTHESIS
[ LSQUAREBRACE
] RSQUAREBRACE
{ LCURLYBRACE
} RCURLYBRACE
... ELLIPSIS
